"#" 11.3 "=" "speed" "of" "the" "wind"
"angle" "foc2"     
0 0     
15 0.3     
30 4.2     
45 7.6     
60 8.6     
75 9.4     
90 10.3     
105 10.6     
120 10.5     
135 9.5     
150 6.2     
165 4.5     
180 5.5     
      
"angle" "gennaker"     
0 0     
15 0     
30 0     
45 0     
60 0     
75 0     
90 1     
95 4     
100 7     
105 11     
120 11     
135 9     
150 8     
165 6     
180 6     
      
"angle" "spi"     
0 0     
15 0     
30 0     
45 0     
60 0     
75 0     
90 0     
105 2     
120 8     
127 11.7     
135 11     
150 9     
165 7.5     
180 7     
      
"angle" "code zero"     
0 0     
15 0     
30 0     
45 3     
60 7.5     
75 10.9     
90 11.9     
105 12.1     
120 12     
135 9.4     
150 6.4     
165 4.1     
180 3.5     
      
"angle" "genois"     
0 0     
15 1.8     
30 5.7     
45 9.1     
60 10.1     
75 9.8     
90 8.9     
105 7.3     
120 6     
135 5.5     
150 4.6     
165 3.8     
180 3.5     
